Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: momizza_display_price,Meta: momizza_source_section
variation,MOM-PIZZA-CLASSI-PANEER-MAKHANI-MEDIUM,Paneer Makhani - Medium,1,0,visible,,,taxable,1,319,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-PANEER-MAKHANI,2,Option,Medium,1,0,₹319,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-PANEER-MAKHANI-LARGE,Paneer Makhani - Large,1,0,visible,,,taxable,1,449,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-PANEER-MAKHANI,3,Option,Large,1,0,₹449,Pizza Classic Range
variable,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA,Achari Do Payaza,1,0,visible,"Onion, jalapeno, red paprika","Onion, jalapeno, red paprika",taxable,1,,Pizza Classic Range,Momizza menu,,5,Option,"Regular, Medium, Large",1,0,,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA-REGULAR,Achari Do Payaza - Regular,1,0,visible,,,taxable,1,189,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA,1,Option,Regular,1,0,₹189,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA-MEDIUM,Achari Do Payaza - Medium,1,0,visible,,,taxable,1,319,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA,2,Option,Medium,1,0,₹319,Pizza Classic Range
variation,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA-LARGE,Achari Do Payaza - Large,1,0,visible,,,taxable,1,449,Pizza Classic Range,Momizza menu,MOM-PIZZA-CLASSI-ACHARI-DO-PAYAZA,3,Option,Large,1,0,₹449,Pizza Classic Range
variable,MOM-PIZZA-SIGNAT-PANEER-SPECIAL,Paneer Special,1,0,visible,"Paneer, capsicum, red paprika","Paneer, capsicum, red paprika",taxable,1,,Pizza Signature Range,Momizza menu,,6,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-SPECIAL-REGULAR,Paneer Special - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-SPECIAL,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-SPECIAL-MEDIUM,Paneer Special - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-SPECIAL,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-SPECIAL-LARGE,Paneer Special - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-SPECIAL,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SIGNAT-PANEER-TADKA,Paneer Tadka,1,0,visible,"Paneer, capsicum, jalapeno","Paneer, capsicum, jalapeno",taxable,1,,Pizza Signature Range,Momizza menu,,7,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-TADKA-REGULAR,Paneer Tadka - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-TADKA,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-TADKA-MEDIUM,Paneer Tadka - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-TADKA,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-PANEER-TADKA-LARGE,Paneer Tadka - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-PANEER-TADKA,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE,Deluxe Veggie,1,0,visible,"Onion, capsicum, corn, mushroom, paneer","Onion, capsicum, corn, mushroom, paneer",taxable,1,,Pizza Signature Range,Momizza menu,,8,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE-REGULAR,Deluxe Veggie - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE-MEDIUM,Deluxe Veggie - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE-LARGE,Deluxe Veggie - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-DELUXE-VEGGIE,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SIGNAT-BLACK-WHITE,Black & White,1,0,visible,"Capsicum, corn, onion, paneer, black olive","Capsicum, corn, onion, paneer, black olive",taxable,1,,Pizza Signature Range,Momizza menu,,9,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-BLACK-WHITE-REGULAR,Black & White - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-BLACK-WHITE,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-BLACK-WHITE-MEDIUM,Black & White - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-BLACK-WHITE,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-BLACK-WHITE-LARGE,Black & White - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-BLACK-WHITE,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA,Tandoori Pizza,1,0,visible,"Onion, capsicum, jalapeno, tandoori sauce","Onion, capsicum, jalapeno, tandoori sauce",taxable,1,,Pizza Signature Range,Momizza menu,,10,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA-REGULAR,Tandoori Pizza - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA-MEDIUM,Tandoori Pizza - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA-LARGE,Tandoori Pizza - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-TANDOORI-PIZZA,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SIGNAT-GREEN-MEXICAN,Green Mexican,1,0,visible,"Jalapeno, onion, capsicum & tomato sprinkled with Mexican","Jalapeno, onion, capsicum & tomato sprinkled with Mexican",taxable,1,,Pizza Signature Range,Momizza menu,,11,Option,"Regular, Medium, Large",1,0,,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-GREEN-MEXICAN-REGULAR,Green Mexican - Regular,1,0,visible,,,taxable,1,239,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-GREEN-MEXICAN,1,Option,Regular,1,0,₹239,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-GREEN-MEXICAN-MEDIUM,Green Mexican - Medium,1,0,visible,,,taxable,1,399,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-GREEN-MEXICAN,2,Option,Medium,1,0,₹399,Pizza Signature Range
variation,MOM-PIZZA-SIGNAT-GREEN-MEXICAN-LARGE,Green Mexican - Large,1,0,visible,,,taxable,1,519,Pizza Signature Range,Momizza menu,MOM-PIZZA-SIGNAT-GREEN-MEXICAN,3,Option,Large,1,0,₹519,Pizza Signature Range
variable,MOM-PIZZA-SUPREM-KADAI-PANEER,Kadai Paneer,1,0,visible,"Paneer, onion, capsicum, tomato, mushroom & extra cheese","Paneer, onion, capsicum, tomato, mushroom & extra cheese",taxable,1,,Pizza Supreme Range,Momizza menu,,12,Option,"Regular, Medium, Large",1,0,,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-KADAI-PANEER-REGULAR,Kadai Paneer - Regular,1,0,visible,,,taxable,1,279,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-KADAI-PANEER,1,Option,Regular,1,0,₹279,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-KADAI-PANEER-MEDIUM,Kadai Paneer - Medium,1,0,visible,,,taxable,1,499,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-KADAI-PANEER,2,Option,Medium,1,0,₹499,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-KADAI-PANEER-LARGE,Kadai Paneer - Large,1,0,visible,,,taxable,1,619,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-KADAI-PANEER,3,Option,Large,1,0,₹619,Pizza Supreme Range
variable,MOM-PIZZA-SUPREM-MIX-VEGGIES,Mix Veggies,1,0,visible,"Tomato, capsicum, corn, onion, mushroom, black olives & extra cheese","Tomato, capsicum, corn, onion, mushroom, black olives & extra cheese",taxable,1,,Pizza Supreme Range,Momizza menu,,13,Option,"Regular, Medium, Large",1,0,,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-MIX-VEGGIES-REGULAR,Mix Veggies - Regular,1,0,visible,,,taxable,1,279,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-MIX-VEGGIES,1,Option,Regular,1,0,₹279,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-MIX-VEGGIES-MEDIUM,Mix Veggies - Medium,1,0,visible,,,taxable,1,499,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-MIX-VEGGIES,2,Option,Medium,1,0,₹499,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-MIX-VEGGIES-LARGE,Mix Veggies - Large,1,0,visible,,,taxable,1,619,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-MIX-VEGGIES,3,Option,Large,1,0,₹619,Pizza Supreme Range
variable,MOM-PIZZA-SUPREM-VEGGIE-DESIRE,Veggie Desire,1,0,visible,"Capsicum, corn, mushroom, paneer, black olives, jalapeno, red paprika & extra cheese","Capsicum, corn, mushroom, paneer, black olives, jalapeno, red paprika & extra cheese",taxable,1,,Pizza Supreme Range,Momizza menu,,14,Option,"Regular, Medium, Large",1,0,,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-VEGGIE-DESIRE-REGULAR,Veggie Desire - Regular,1,0,visible,,,taxable,1,279,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-VEGGIE-DESIRE,1,Option,Regular,1,0,₹279,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-VEGGIE-DESIRE-MEDIUM,Veggie Desire - Medium,1,0,visible,,,taxable,1,499,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-VEGGIE-DESIRE,2,Option,Medium,1,0,₹499,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-VEGGIE-DESIRE-LARGE,Veggie Desire - Large,1,0,visible,,,taxable,1,619,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-VEGGIE-DESIRE,3,Option,Large,1,0,₹619,Pizza Supreme Range
variable,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN,Spicy Veg Heaven,1,0,visible,"Mushroom, capsicum, onion, jalapeno, red paprika, corn, paneer & extra cheese","Mushroom, capsicum, onion, jalapeno, red paprika, corn, paneer & extra cheese",taxable,1,,Pizza Supreme Range,Momizza menu,,15,Option,"Regular, Medium, Large",1,0,,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN-REGULAR,Spicy Veg Heaven - Regular,1,0,visible,,,taxable,1,279,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN,1,Option,Regular,1,0,₹279,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN-MEDIUM,Spicy Veg Heaven - Medium,1,0,visible,,,taxable,1,499,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN,2,Option,Medium,1,0,₹499,Pizza Supreme Range
variation,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN-LARGE,Spicy Veg Heaven - Large,1,0,visible,,,taxable,1,619,Pizza Supreme Range,Momizza menu,MOM-PIZZA-SUPREM-SPICY-VEG-HEAVEN,3,Option,Large,1,0,₹619,Pizza Supreme Range
variable,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA,Make Your Own Pizza,1,0,visible,Choose your size and build it your way.,Choose your size and build it your way.,taxable,1,,Make Your Own Pizza,Momizza menu,,16,Option,"Regular, Medium, Large",1,0,,Make Your Own Pizza
variation,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA-REGULAR,Make Your Own Pizza - Regular,1,0,visible,,,taxable,1,149,Make Your Own Pizza,Momizza menu,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA,1,Option,Regular,1,0,₹149,Make Your Own Pizza
variation,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA-MEDIUM,Make Your Own Pizza - Medium,1,0,visible,,,taxable,1,259,Make Your Own Pizza,Momizza menu,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA,2,Option,Medium,1,0,₹259,Make Your Own Pizza
variation,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA-LARGE,Make Your Own Pizza - Large,1,0,visible,,,taxable,1,399,Make Your Own Pizza,Momizza menu,MOM-MAKE-YOUR-OW-MAKE-YOUR-OWN-PIZZA,3,Option,Large,1,0,₹399,Make Your Own Pizza
variable,MOM-BURGERS-ALOO-TIKKI-BURGER,Aloo Tikki Burger,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,17,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-ALOO-TIKKI-BURGER-BURGER-ONLY,Aloo Tikki Burger - Burger Only,1,0,visible,,,taxable,1,39,Burgers,Momizza menu,MOM-BURGERS-ALOO-TIKKI-BURGER,1,Option,Burger Only,1,0,₹39,Burgers
variation,MOM-BURGERS-ALOO-TIKKI-BURGER-COMBO,Aloo Tikki Burger - Combo,1,0,visible,,,taxable,1,129,Burgers,Momizza menu,MOM-BURGERS-ALOO-TIKKI-BURGER,2,Option,Combo,1,0,₹129,Burgers
variable,MOM-BURGERS-VEGI-BURGER,Vegi Burger,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,18,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-VEGI-BURGER-BURGER-ONLY,Vegi Burger - Burger Only,1,0,visible,,,taxable,1,59,Burgers,Momizza menu,MOM-BURGERS-VEGI-BURGER,1,Option,Burger Only,1,0,₹59,Burgers
variation,MOM-BURGERS-VEGI-BURGER-COMBO,Vegi Burger - Combo,1,0,visible,,,taxable,1,139,Burgers,Momizza menu,MOM-BURGERS-VEGI-BURGER,2,Option,Combo,1,0,₹139,Burgers
variable,MOM-BURGERS-CHEESY-BURGER,Cheesy Burger,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,19,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-CHEESY-BURGER-BURGER-ONLY,Cheesy Burger - Burger Only,1,0,visible,,,taxable,1,79,Burgers,Momizza menu,MOM-BURGERS-CHEESY-BURGER,1,Option,Burger Only,1,0,₹79,Burgers
variation,MOM-BURGERS-CHEESY-BURGER-COMBO,Cheesy Burger - Combo,1,0,visible,,,taxable,1,169,Burgers,Momizza menu,MOM-BURGERS-CHEESY-BURGER,2,Option,Combo,1,0,₹169,Burgers
variable,MOM-BURGERS-TANDOORI-BURGER,Tandoori Burger,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,20,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-TANDOORI-BURGER-BURGER-ONLY,Tandoori Burger - Burger Only,1,0,visible,,,taxable,1,79,Burgers,Momizza menu,MOM-BURGERS-TANDOORI-BURGER,1,Option,Burger Only,1,0,₹79,Burgers
variation,MOM-BURGERS-TANDOORI-BURGER-COMBO,Tandoori Burger - Combo,1,0,visible,,,taxable,1,169,Burgers,Momizza menu,MOM-BURGERS-TANDOORI-BURGER,2,Option,Combo,1,0,₹169,Burgers
variable,MOM-BURGERS-PANEER-E-ZAIKA,Paneer-E-Zaika,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,21,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-PANEER-E-ZAIKA-BURGER-ONLY,Paneer-E-Zaika - Burger Only,1,0,visible,,,taxable,1,129,Burgers,Momizza menu,MOM-BURGERS-PANEER-E-ZAIKA,1,Option,Burger Only,1,0,₹129,Burgers
variation,MOM-BURGERS-PANEER-E-ZAIKA-COMBO,Paneer-E-Zaika - Combo,1,0,visible,,,taxable,1,219,Burgers,Momizza menu,MOM-BURGERS-PANEER-E-ZAIKA,2,Option,Combo,1,0,₹219,Burgers
variable,MOM-BURGERS-MOMIZZA-SPECIAL-BURGER,Momizza Special Burger,1,0,visible,,,taxable,1,,Burgers,Momizza menu,,22,Option,"Burger Only, Combo",1,0,,Burgers
variation,MOM-BURGERS-MOMIZZA-SPECIAL-BURGER-BURGER-ONLY,Momizza Special Burger - Burger Only,1,0,visible,,,taxable,1,149,Burgers,Momizza menu,MOM-BURGERS-MOMIZZA-SPECIAL-BURGER,1,Option,Burger Only,1,0,₹149,Burgers
variation,MOM-BURGERS-MOMIZZA-SPECIAL-BURGER-COMBO,Momizza Special Burger - Combo,1,0,visible,,,taxable,1,239,Burgers,Momizza menu,MOM-BURGERS-MOMIZZA-SPECIAL-BURGER,2,Option,Combo,1,0,₹239,Burgers
variable,MOM-SANDWICHES-GRILLED-SANDWICH,Grilled Sandwich,1,0,visible,,,taxable,1,,Sandwiches,Momizza menu,,23,Option,"Sandwich Only, Combo",1,0,,Sandwiches
variation,MOM-SANDWICHES-GRILLED-SANDWICH-SANDWICH-ONLY,Grilled Sandwich - Sandwich Only,1,0,visible,,,taxable,1,89,Sandwiches,Momizza menu,MOM-SANDWICHES-GRILLED-SANDWICH,1,Option,Sandwich Only,1,0,₹89,Sandwiches
variation,MOM-SANDWICHES-GRILLED-SANDWICH-COMBO,Grilled Sandwich - Combo,1,0,visible,,,taxable,1,169,Sandwiches,Momizza menu,MOM-SANDWICHES-GRILLED-SANDWICH,2,Option,Combo,1,0,₹169,Sandwiches
variable,MOM-SANDWICHES-CHEESY-GRILLED-SANDWICH,Cheesy Grilled Sandwich,1,0,visible,,,taxable,1,,Sandwiches,Momizza menu,,24,Option,"Sandwich Only, Combo",1,0,,Sandwiches
variation,MOM-SANDWICHES-CHEESY-GRILLED-SANDWICH-SANDWICH-ONLY,Cheesy Grilled Sandwich - Sandwich Only,1,0,visible,,,taxable,1,109,Sandwiches,Momizza menu,MOM-SANDWICHES-CHEESY-GRILLED-SANDWICH,1,Option,Sandwich Only,1,0,₹109,Sandwiches
variation,MOM-SANDWICHES-CHEESY-GRILLED-SANDWICH-COMBO,Cheesy Grilled Sandwich - Combo,1,0,visible,,,taxable,1,199,Sandwiches,Momizza menu,MOM-SANDWICHES-CHEESY-GRILLED-SANDWICH,2,Option,Combo,1,0,₹199,Sandwiches
variable,MOM-SANDWICHES-PANEER-CORN-SANDWICH,Paneer & Corn Sandwich,1,0,visible,,,taxable,1,,Sandwiches,Momizza menu,,25,Option,"Sandwich Only, Combo",1,0,,Sandwiches
variation,MOM-SANDWICHES-PANEER-CORN-SANDWICH-SANDWICH-ONLY,Paneer & Corn Sandwich - Sandwich Only,1,0,visible,,,taxable,1,109,Sandwiches,Momizza menu,MOM-SANDWICHES-PANEER-CORN-SANDWICH,1,Option,Sandwich Only,1,0,₹109,Sandwiches
variation,MOM-SANDWICHES-PANEER-CORN-SANDWICH-COMBO,Paneer & Corn Sandwich - Combo,1,0,visible,,,taxable,1,199,Sandwiches,Momizza menu,MOM-SANDWICHES-PANEER-CORN-SANDWICH,2,Option,Combo,1,0,₹199,Sandwiches
variable,MOM-SANDWICHES-SPECIAL-SANDWICH,Special Sandwich,1,0,visible,,,taxable,1,,Sandwiches,Momizza menu,,26,Option,"Sandwich Only, Combo",1,0,,Sandwiches
variation,MOM-SANDWICHES-SPECIAL-SANDWICH-SANDWICH-ONLY,Special Sandwich - Sandwich Only,1,0,visible,,,taxable,1,129,Sandwiches,Momizza menu,MOM-SANDWICHES-SPECIAL-SANDWICH,1,Option,Sandwich Only,1,0,₹129,Sandwiches
variation,MOM-SANDWICHES-SPECIAL-SANDWICH-COMBO,Special Sandwich - Combo,1,0,visible,,,taxable,1,219,Sandwiches,Momizza menu,MOM-SANDWICHES-SPECIAL-SANDWICH,2,Option,Combo,1,0,₹219,Sandwiches
variable,MOM-FRIES-FRENCH-FRIES,French Fries,1,0,visible,,,taxable,1,,Fries,Momizza menu,,27,Option,"Small, Large",1,0,,Fries
variation,MOM-FRIES-FRENCH-FRIES-SMALL,French Fries - Small,1,0,visible,,,taxable,1,69,Fries,Momizza menu,MOM-FRIES-FRENCH-FRIES,1,Option,Small,1,0,₹69,Fries
variation,MOM-FRIES-FRENCH-FRIES-LARGE,French Fries - Large,1,0,visible,,,taxable,1,129,Fries,Momizza menu,MOM-FRIES-FRENCH-FRIES,2,Option,Large,1,0,₹129,Fries
variable,MOM-FRIES-MASALA-FRIES,Masala Fries,1,0,visible,,,taxable,1,,Fries,Momizza menu,,28,Option,"Small, Large",1,0,,Fries
variation,MOM-FRIES-MASALA-FRIES-SMALL,Masala Fries - Small,1,0,visible,,,taxable,1,89,Fries,Momizza menu,MOM-FRIES-MASALA-FRIES,1,Option,Small,1,0,₹89,Fries
variation,MOM-FRIES-MASALA-FRIES-LARGE,Masala Fries - Large,1,0,visible,,,taxable,1,149,Fries,Momizza menu,MOM-FRIES-MASALA-FRIES,2,Option,Large,1,0,₹149,Fries
variable,MOM-FRIES-SPICY-PERI-PERI-FRIES,Spicy Peri Peri Fries,1,0,visible,,,taxable,1,,Fries,Momizza menu,,29,Option,"Small, Large",1,0,,Fries
variation,MOM-FRIES-SPICY-PERI-PERI-FRIES-SMALL,Spicy Peri Peri Fries - Small,1,0,visible,,,taxable,1,99,Fries,Momizza menu,MOM-FRIES-SPICY-PERI-PERI-FRIES,1,Option,Small,1,0,₹99,Fries
